Sales Person,Country,Product,Date,Amount,Boxes Shipped
Kaine Padly,Australia,Caramel Stuffed Bars,24-Jun-22,"$5,033 ",128
Barr Faughny,New Zealand,85% Dark Bars,17-Feb-22,"$18,697 ",403
Curtice Advani,India,After Nines,18-Feb-22,"$3,325 ",157
Barr Faughny,India,Choco Coated Almonds,29-Jul-22,"$6,587 ",19
Gigi Bohling,USA,Spicy Special Slims,4-Jan-22,"$5,376 ",12
Jehu Rudeforth,New Zealand,Almond Choco,17-Jun-22,"$5,250 ",101
Dotty Strutley,UK,Organic Choco Syrup,8-Jun-22,"$5,229 ",180
Andria Kimpton,UK,99% Dark & Pure,5-May-22,"$9,310 ",301
Husein Augar,UK,Smooth Sliky Salty,7-Feb-22,"$2,485 ",89
Van Tuxwell,New Zealand,Mint Chip Choco,1-Aug-22,"$12,271 ",169
Husein Augar,Australia,Choco Coated Almonds,13-Jan-22,"$8,757 ",203
Husein Augar,UK,70% Dark Bites,17-Aug-22,"$8,848 ",130
Karlen McCaffrey,UK,Drinking Coco,19-Aug-22,"$4,403 ",216
Dotty Strutley,USA,Fruit & Nut Bars,26-Jan-22,$420 ,43
Kaine Padly,Canada,Orange Choco,8-Jun-22,"$2,905 ",311
Husein Augar,Australia,Raspberry Choco,30-Jun-22,"$12,481 ",416
Marney O'Breen,USA,Almond Choco,18-Feb-22,"$5,131 ",101
Oby Sorrel,Canada,Peanut Butter Cubes,15-Mar-22,"$5,852 ",187
Brien Boise,New Zealand,Eclairs,20-Jan-22,"$6,342 ",91
Camilla Castle,Australia,Mint Chip Choco,3-Jan-22,"$1,575 ",289
Madelene Upcott,Australia,99% Dark & Pure,3-Jun-22,"$16,114 ",351
Wilone O'Kielt,India,70% Dark Bites,8-Mar-22,"$7,490 ",304
Rafaelita Blaksland,India,Baker's Choco Chips,8-Apr-22,"$11,564 ",432
Dotty Strutley,USA,Fruit & Nut Bars,16-Mar-22,"$2,170 ",200
Jan Morforth,Canada,Caramel Stuffed Bars,4-Mar-22,"$10,164 ",211
Barr Faughny,Canada,Manuka Honey Choco,26-Apr-22,"$4,739 ",284
Oby Sorrel,New Zealand,White Choc,8-Mar-22,"$2,478 ",188
Rafaelita Blaksland,Australia,70% Dark Bites,4-Mar-22,"$5,271 ",1
Roddy Speechley,Canada,Spicy Special Slims,9-May-22,"$1,372 ",184
Rafaelita Blaksland,Australia,After Nines,3-Mar-22,"$5,222 ",305
Ches Bonnell,Canada,Smooth Sliky Salty,22-Aug-22,"$4,193 ",81
Madelene Upcott,New Zealand,Peanut Butter Cubes,16-May-22,"$5,075 ",150
Wilone O'Kielt,New Zealand,Caramel Stuffed Bars,24-May-22,"$4,914 ",333
Madelene Upcott,India,Spicy Special Slims,29-Apr-22,"$8,029 ",238
Jan Morforth,Canada,99% Dark & Pure,12-Aug-22,"$2,961 ",190
Rafaelita Blaksland,Australia,Orange Choco,11-May-22,"$14,980 ",140
Camilla Castle,India,99% Dark & Pure,9-Jun-22,$749 ,149
Rafaelita Blaksland,UK,99% Dark & Pure,1-Apr-22,"$5,852 ",99
Kaine Padly,USA,White Choc,4-Jul-22,$469 ,368
Madelene Upcott,Canada,Almond Choco,1-Apr-22,"$1,232 ",232
Dennison Crosswaite,India,Orange Choco,20-Apr-22,"$4,263 ",9
Andria Kimpton,Canada,99% Dark & Pure,8-Jul-22,"$4,333 ",475
Gigi Bohling,USA,Milk Bars,18-May-22,"$4,025 ",80
Beverie Moffet,UK,50% Dark Bites,13-May-22,$588 ,107
Oby Sorrel,Australia,Organic Choco Syrup,1-Apr-22,"$1,260 ",390
Rafaelita Blaksland,UK,Baker's Choco Chips,11-May-22,$980 ,163
Dotty Strutley,India,Orange Choco,18-Aug-22,"$4,935 ",142
Van Tuxwell,Australia,Baker's Choco Chips,23-Mar-22,"$2,520 ",49
Dennison Crosswaite,Canada,Organic Choco Syrup,9-Aug-22,"$8,155 ",212
Curtice Advani,New Zealand,Peanut Butter Cubes,24-Aug-22,"$5,614 ",52
Gigi Bohling,USA,Baker's Choco Chips,27-Jan-22,"$1,876 ",261
Rafaelita Blaksland,UK,Peanut Butter Cubes,29-Jun-22,"$17,318 ",42
Gunar Cockshoot,USA,Almond Choco,8-Feb-22,"$9,016 ",241
Ches Bonnell,India,85% Dark Bars,23-Feb-22,"$10,577 ",73
Karlen McCaffrey,India,Choco Coated Almonds,8-Mar-22,"$5,845 ",249
Kelci Walkden,UK,Caramel Stuffed Bars,30-May-22,"$10,885 ",286
Roddy Speechley,USA,Orange Choco,22-Mar-22,"$2,912 ",421
Curtice Advani,New Zealand,Drinking Coco,11-Aug-22,"$1,652 ",174
Camilla Castle,USA,Smooth Sliky Salty,19-May-22,"$5,810 ",160
Camilla Castle,USA,99% Dark & Pure,25-May-22,"$5,313 ",361
Gigi Bohling,India,99% Dark & Pure,5-Aug-22,"$5,271 ",208
Camilla Castle,USA,Peanut Butter Cubes,22-Jul-22,"$16,793 ",159
Rafaelita Blaksland,India,99% Dark & Pure,1-Aug-22,"$7,077 ",270
Gigi Bohling,New Zealand,Smooth Sliky Salty,15-Jul-22,$973 ,232
Barr Faughny,India,Milk Bars,18-Apr-22,$329 ,446
Gunar Cockshoot,New Zealand,85% Dark Bars,22-Mar-22,"$7,252 ",395
Madelene Upcott,USA,Manuka Honey Choco,20-Apr-22,"$1,393 ",238
Barr Faughny,India,White Choc,18-Apr-22,$994 ,201
Camilla Castle,USA,Drinking Coco,18-Jul-22,"$6,223 ",295
Wilone O'Kielt,Australia,70% Dark Bites,31-Jan-22,"$6,342 ",371
Roddy Speechley,Australia,Manuka Honey Choco,21-Jul-22,"$7,203 ",430
Beverie Moffet,UK,Baker's Choco Chips,27-Jun-22,$105 ,48
Beverie Moffet,Australia,Caramel Stuffed Bars,29-Jun-22,"$12,656 ",190
Kaine Padly,India,Drinking Coco,6-Apr-22,"$4,018 ",256
Ches Bonnell,UK,Organic Choco Syrup,18-Jan-22,"$13,405 ",102
Andria Kimpton,USA,Orange Choco,3-May-22,"$7,504 ",197
Roddy Speechley,Australia,Raspberry Choco,23-Aug-22,"$5,229 ",286
Husein Augar,New Zealand,85% Dark Bars,2-Mar-22,"$2,030 ",157
Brien Boise,India,Smooth Sliky Salty,26-Apr-22,"$7,532 ",406
Brien Boise,USA,Organic Choco Syrup,10-May-22,"$5,691 ",104
Rafaelita Blaksland,New Zealand,Manuka Honey Choco,22-Jun-22,"$8,715 ",184
Curtice Advani,Canada,Peanut Butter Cubes,10-Feb-22,"$3,122 ",97
Jan Morforth,New Zealand,Caramel Stuffed Bars,25-Jul-22,"$1,813 ",62
Mallorie Waber,UK,After Nines,2-Aug-22,"$10,976 ",104
Andria Kimpton,New Zealand,Raspberry Choco,13-Apr-22,"$3,122 ",92
Marney O'Breen,Australia,White Choc,24-Jun-22,"$4,214 ",177
Kelci Walkden,New Zealand,Manuka Honey Choco,13-May-22,"$3,724 ",157
Dennison Crosswaite,India,White Choc,20-Jun-22,"$3,143 ",50
Barr Faughny,Australia,After Nines,8-Jul-22,$147 ,82
Gigi Bohling,New Zealand,Choco Coated Almonds,22-Aug-22,"$10,164 ",183
Madelene Upcott,Canada,Choco Coated Almonds,30-Mar-22,"$6,440 ",209
Oby Sorrel,India,Baker's Choco Chips,28-Jul-22,"$5,075 ",22
Dennison Crosswaite,New Zealand,99% Dark & Pure,26-May-22,"$3,003 ",5
Curtice Advani,India,99% Dark & Pure,25-Mar-22,$693 ,186
Beverie Moffet,UK,50% Dark Bites,13-Apr-22,"$3,857 ",30
Kaine Padly,India,Almond Choco,13-Apr-22,"$4,270 ",289
Jan Morforth,New Zealand,Mint Chip Choco,30-May-22,"$8,204 ",110
Van Tuxwell,New Zealand,White Choc,16-May-22,"$4,347 ",53
Kelci Walkden,Australia,After Nines,20-Jun-22,"$5,705 ",120
Jehu Rudeforth,New Zealand,Almond Choco,18-Jul-22,"$10,815 ",118
Rafaelita Blaksland,New Zealand,Organic Choco Syrup,4-Jan-22,"$2,352 ",184
Dennison Crosswaite,Australia,Smooth Sliky Salty,30-Mar-22,"$1,470 ",149
Ches Bonnell,Australia,Caramel Stuffed Bars,23-Mar-22,"$9,954 ",187
Gunar Cockshoot,India,Almond Choco,22-Apr-22,"$2,996 ",424
Madelene Upcott,Canada,Orange Choco,6-Apr-22,"$2,296 ",41
Madelene Upcott,New Zealand,Caramel Stuffed Bars,25-Jan-22,$469 ,269
Jehu Rudeforth,India,Caramel Stuffed Bars,13-Jun-22,"$8,267 ",512
Roddy Speechley,UK,Raspberry Choco,11-Jul-22,$994 ,80
Husein Augar,New Zealand,Almond Choco,5-Jul-22,"$1,442 ",24
Dotty Strutley,New Zealand,Milk Bars,5-Jul-22,"$2,975 ",520
Mallorie Waber,Australia,Fruit & Nut Bars,7-Jun-22,"$4,340 ",145
Van Tuxwell,India,99% Dark & Pure,25-Jan-22,"$10,213 ",9
Dennison Crosswaite,Australia,Milk Bars,4-Jan-22,"$6,566 ",354
Husein Augar,UK,85% Dark Bars,26-Jan-22,"$9,408 ",93
Marney O'Breen,Australia,Eclairs,10-Jun-22,"$4,858 ",294
Andria Kimpton,USA,Mint Chip Choco,14-Jan-22,"$2,926 ",59
Madelene Upcott,India,Choco Coated Almonds,28-Feb-22,"$5,061 ",30
Gunar Cockshoot,USA,White Choc,10-Jan-22,"$1,309 ",164
Camilla Castle,UK,After Nines,20-Jun-22,"$2,688 ",67
Ches Bonnell,UK,85% Dark Bars,17-Feb-22,$588 ,25
Gigi Bohling,UK,Choco Coated Almonds,25-Mar-22,"$14,238 ",74
Dennison Crosswaite,New Zealand,Choco Coated Almonds,29-Jul-22,"$7,672 ",211
Marney O'Breen,UK,70% Dark Bites,18-Jul-22,"$3,822 ",121
Wilone O'Kielt,UK,Eclairs,14-Apr-22,"$3,003 ",24
Andria Kimpton,UK,Milk Bars,19-Jan-22,"$8,379 ",268
Roddy Speechley,UK,50% Dark Bites,1-Aug-22,$994 ,98
Karlen McCaffrey,New Zealand,Orange Choco,11-Aug-22,"$4,361 ",398
Marney O'Breen,Canada,Drinking Coco,7-Jul-22,"$6,979 ",15
Oby Sorrel,UK,70% Dark Bites,14-Apr-22,"$10,794 ",126
Curtice Advani,Canada,Baker's Choco Chips,9-Feb-22,"$1,799 ",512
Barr Faughny,India,Manuka Honey Choco,21-Apr-22,"$8,134 ",318
Husein Augar,New Zealand,70% Dark Bites,6-Jul-22,"$13,083 ",597
Mallorie Waber,UK,70% Dark Bites,24-Feb-22,"$8,099 ",178
Wilone O'Kielt,India,Manuka Honey Choco,30-May-22,"$7,007 ",117
Jan Morforth,Canada,Raspberry Choco,6-Apr-22,$455 ,547
Van Tuxwell,New Zealand,Peanut Butter Cubes,28-Apr-22,"$3,423 ",229
Barr Faughny,Australia,Spicy Special Slims,13-Jan-22,"$4,025 ",408
Kaine Padly,Australia,Caramel Stuffed Bars,2-Aug-22,$385 ,42
Wilone O'Kielt,New Zealand,Manuka Honey Choco,14-Jun-22,"$4,753 ",380
Curtice Advani,UK,Baker's Choco Chips,25-Feb-22,"$5,033 ",237
Madelene Upcott,India,Almond Choco,4-Mar-22,"$1,127 ",467
Husein Augar,New Zealand,After Nines,31-Jan-22,"$6,818 ",34
Brien Boise,Australia,Peanut Butter Cubes,11-Feb-22,"$3,311 ",157
Wilone O'Kielt,USA,50% Dark Bites,30-Jun-22,"$4,102 ",144
Wilone O'Kielt,Canada,Smooth Sliky Salty,18-Feb-22,"$13,034 ",259
Brien Boise,New Zealand,Drinking Coco,3-Mar-22,"$2,478 ",81
Oby Sorrel,India,Almond Choco,20-May-22,"$5,705 ",401
Gunar Cockshoot,UK,70% Dark Bites,15-Feb-22,"$2,758 ",709
Oby Sorrel,India,Raspberry Choco,25-Feb-22,"$2,653 ",243
Rafaelita Blaksland,India,Fruit & Nut Bars,11-May-22,"$8,113 ",140
Mallorie Waber,Canada,Organic Choco Syrup,15-Jun-22,$168 ,293
Mallorie Waber,New Zealand,99% Dark & Pure,31-Aug-22,"$2,170 ",98
Jan Morforth,Canada,Orange Choco,10-Aug-22,"$4,914 ",256
Curtice Advani,Australia,Mint Chip Choco,23-Aug-22,"$10,325 ",433
Kaine Padly,India,99% Dark & Pure,24-Mar-22,"$1,141 ",479
Andria Kimpton,Canada,Spicy Special Slims,3-Mar-22,"$6,769 ",218
Beverie Moffet,Australia,Manuka Honey Choco,22-Jun-22,"$7,602 ",8
Marney O'Breen,UK,Caramel Stuffed Bars,5-May-22,"$12,425 ",218
Roddy Speechley,India,Smooth Sliky Salty,11-Apr-22,"$10,325 ",212
Marney O'Breen,New Zealand,Mint Chip Choco,4-Aug-22,"$9,324 ",48
Curtice Advani,India,White Choc,30-May-22,"$1,540 ",247
Oby Sorrel,New Zealand,Caramel Stuffed Bars,1-Aug-22,"$5,565 ",479
Curtice Advani,UK,99% Dark & Pure,11-Jan-22,$371 ,27
Ches Bonnell,Canada,Choco Coated Almonds,16-May-22,"$10,143 ",132
Rafaelita Blaksland,Australia,Orange Choco,18-May-22,"$10,038 ",94
Curtice Advani,New Zealand,Organic Choco Syrup,11-Jul-22,"$8,267 ",303
Roddy Speechley,Australia,Raspberry Choco,12-Aug-22,"$1,533 ",106
Madelene Upcott,India,Milk Bars,2-Aug-22,"$2,331 ",128
Beverie Moffet,UK,After Nines,3-Mar-22,"$3,143 ",177
Rafaelita Blaksland,Canada,85% Dark Bars,8-Jul-22,"$5,124 ",281
Ches Bonnell,India,Orange Choco,14-Feb-22,"$13,258 ",306
Curtice Advani,Australia,70% Dark Bites,10-Aug-22,"$7,595 ",270
Beverie Moffet,India,Mint Chip Choco,4-Jul-22,$273 ,160
Curtice Advani,New Zealand,Eclairs,2-Jun-22,"$13,034 ",252
Barr Faughny,Canada,Choco Coated Almonds,28-Jun-22,"$6,489 ",13
Van Tuxwell,New Zealand,Spicy Special Slims,14-Jun-22,$721 ,118
Mallorie Waber,New Zealand,White Choc,7-Jun-22,"$4,816 ",390
Jan Morforth,Canada,Orange Choco,6-Jul-22,"$13,930 ",56
Dennison Crosswaite,USA,Milk Bars,11-Feb-22,"$14,980 ",113
Oby Sorrel,UK,Manuka Honey Choco,11-Jan-22,"$10,479 ",377
Madelene Upcott,India,Baker's Choco Chips,9-Jun-22,"$8,267 ",127
Ches Bonnell,Australia,Spicy Special Slims,3-Jun-22,"$9,037 ",354
Oby Sorrel,New Zealand,Manuka Honey Choco,14-Apr-22,"$18,991 ",313
Jan Morforth,Australia,Baker's Choco Chips,19-May-22,"$1,435 ",105
Andria Kimpton,UK,Caramel Stuffed Bars,18-Jul-22,"$12,425 ",124
Jehu Rudeforth,New Zealand,Drinking Coco,14-Jun-22,"$8,113 ",106
Marney O'Breen,Australia,85% Dark Bars,29-Jun-22,"$4,221 ",280
Ches Bonnell,India,Baker's Choco Chips,9-Aug-22,"$9,716 ",434
Curtice Advani,New Zealand,Milk Bars,23-Mar-22,$126 ,113
Madelene Upcott,New Zealand,Organic Choco Syrup,27-Jul-22,"$19,327 ",46
Marney O'Breen,Australia,Mint Chip Choco,19-Jan-22,"$1,400 ",23
Van Tuxwell,UK,Organic Choco Syrup,22-Feb-22,"$1,813 ",183
Kaine Padly,UK,Orange Choco,16-Aug-22,"$8,470 ",147
Wilone O'Kielt,New Zealand,99% Dark & Pure,24-May-22,"$5,460 ",285
Brien Boise,Canada,Fruit & Nut Bars,4-Mar-22,"$3,472 ",311
Van Tuxwell,UK,Caramel Stuffed Bars,18-Apr-22,$203 ,312
Kelci Walkden,UK,Manuka Honey Choco,17-Mar-22,"$2,268 ",96
Brien Boise,India,After Nines,20-Jun-22,"$5,887 ",198
Barr Faughny,Canada,Orange Choco,4-May-22,"$1,876 ",289
Rafaelita Blaksland,India,Almond Choco,29-Jun-22,"$6,713 ",146
Camilla Castle,Canada,Spicy Special Slims,11-May-22,"$1,694 ",424
Kaine Padly,Canada,Choco Coated Almonds,24-Jan-22,"$7,252 ",39
Ches Bonnell,USA,Smooth Sliky Salty,5-Jul-22,"$1,162 ",97
Jan Morforth,USA,Peanut Butter Cubes,14-Jan-22,"$3,724 ",117
Husein Augar,India,Choco Coated Almonds,10-Mar-22,"$5,705 ",16
Curtice Advani,UK,99% Dark & Pure,5-Jul-22,"$9,037 ",315
Andria Kimpton,USA,Manuka Honey Choco,23-Jun-22,"$6,524 ",311
Beverie Moffet,New Zealand,Manuka Honey Choco,6-Jul-22,"$4,403 ",351
Karlen McCaffrey,USA,Spicy Special Slims,14-Feb-22,"$6,167 ",236
Marney O'Breen,USA,Manuka Honey Choco,11-Apr-22,$252 ,2
Curtice Advani,USA,Manuka Honey Choco,20-Jan-22,"$4,214 ",86
Beverie Moffet,India,White Choc,12-Jul-22,"$6,797 ",128
Madelene Upcott,New Zealand,Almond Choco,13-Jun-22,"$3,311 ",361
Roddy Speechley,New Zealand,Smooth Sliky Salty,27-Jul-22,"$4,725 ",226
Camilla Castle,Australia,50% Dark Bites,25-May-22,"$7,910 ",415
Jan Morforth,India,Orange Choco,22-Feb-22,"$3,402 ",371
Karlen McCaffrey,USA,50% Dark Bites,8-Jun-22,"$1,813 ",150
Marney O'Breen,Canada,Peanut Butter Cubes,10-Jun-22,"$12,446 ",398
Beverie Moffet,India,85% Dark Bars,28-Jun-22,$546 ,303
Brien Boise,New Zealand,Peanut Butter Cubes,22-Aug-22,"$8,113 ",258
Gunar Cockshoot,UK,After Nines,17-Jun-22,"$6,426 ",187
Van Tuxwell,UK,Fruit & Nut Bars,7-Jan-22,"$1,351 ",72
Dotty Strutley,Canada,Smooth Sliky Salty,2-May-22,"$4,221 ",61
Barr Faughny,USA,Choco Coated Almonds,24-Jun-22,"$3,493 ",204
Roddy Speechley,Canada,Drinking Coco,8-Jun-22,"$8,589 ",50
Karlen McCaffrey,Canada,Baker's Choco Chips,6-Jun-22,"$9,408 ",106
Ches Bonnell,UK,Almond Choco,20-Apr-22,"$3,479 ",447
Brien Boise,Australia,Drinking Coco,16-May-22,"$5,250 ",33
Camilla Castle,UK,Peanut Butter Cubes,15-Mar-22,"$4,067 ",215
Rafaelita Blaksland,Canada,50% Dark Bites,18-May-22,"$7,595 ",93
Gunar Cockshoot,India,Peanut Butter Cubes,17-May-22,"$7,154 ",1
Kelci Walkden,India,Eclairs,23-Aug-22,"$8,183 ",167
Dotty Strutley,Canada,Organic Choco Syrup,11-Apr-22,"$2,863 ",28
Jehu Rudeforth,Canada,99% Dark & Pure,25-Apr-22,"$3,864 ",185
Rafaelita Blaksland,India,50% Dark Bites,23-Aug-22,"$14,504 ",293
Rafaelita Blaksland,UK,85% Dark Bars,16-May-22,"$6,706 ",54
Gunar Cockshoot,USA,Eclairs,7-Jul-22,"$6,678 ",243
Curtice Advani,USA,Drinking Coco,21-Apr-22,"$2,436 ",33
Dotty Strutley,New Zealand,99% Dark & Pure,24-Jan-22,$49 ,413
Dotty Strutley,USA,Raspberry Choco,10-Feb-22,"$18,340 ",1
Karlen McCaffrey,USA,Raspberry Choco,26-Jul-22,"$15,330 ",258
Curtice Advani,UK,Fruit & Nut Bars,8-Aug-22,"$1,981 ",520
Mallorie Waber,Australia,Orange Choco,29-Jul-22,"$4,522 ",80
Jehu Rudeforth,USA,White Choc,10-May-22,"$1,351 ",81
Mallorie Waber,India,50% Dark Bites,15-Mar-22,"$5,131 ",246
Camilla Castle,New Zealand,Caramel Stuffed Bars,7-Mar-22,$504 ,145
Rafaelita Blaksland,India,85% Dark Bars,30-Jun-22,"$1,652 ",338
Marney O'Breen,Australia,Mint Chip Choco,3-Jun-22,"$1,155 ",310
Oby Sorrel,Australia,Caramel Stuffed Bars,22-Mar-22,"$10,241 ",38
Jehu Rudeforth,Australia,Eclairs,6-Apr-22,"$1,848 ",257
Jehu Rudeforth,Canada,Choco Coated Almonds,1-Feb-22,"$10,479 ",182
Marney O'Breen,Australia,Spicy Special Slims,21-Apr-22,"$7,798 ",390
Jan Morforth,UK,85% Dark Bars,10-Jun-22,"$5,131 ",187
Dennison Crosswaite,Australia,Fruit & Nut Bars,17-Jan-22,"$6,818 ",224
Oby Sorrel,UK,Orange Choco,11-May-22,"$10,577 ",112
Gunar Cockshoot,Canada,Orange Choco,12-May-22,"$3,087 ",270
Mallorie Waber,Canada,After Nines,19-Jul-22,"$10,325 ",23
Roddy Speechley,New Zealand,Milk Bars,30-Aug-22,"$5,243 ",300
Mallorie Waber,India,Peanut Butter Cubes,20-Apr-22,"$13,573 ",217
Gigi Bohling,USA,Baker's Choco Chips,30-Aug-22,"$5,859 ",34
Karlen McCaffrey,USA,Drinking Coco,13-May-22,"$10,808 ",252
Oby Sorrel,New Zealand,After Nines,30-Jun-22,"$7,077 ",187
Marney O'Breen,India,70% Dark Bites,4-Aug-22,$602 ,44
Andria Kimpton,USA,Mint Chip Choco,15-Jun-22,"$2,478 ",153
Kaine Padly,Australia,Raspberry Choco,30-Mar-22,"$3,857 ",280
Barr Faughny,Australia,Spicy Special Slims,19-Jan-22,"$9,205 ",7
Van Tuxwell,India,Mint Chip Choco,19-Jul-22,"$5,684 ",380
Barr Faughny,USA,After Nines,12-Jan-22,"$7,504 ",286
Roddy Speechley,UK,Baker's Choco Chips,12-Jul-22,"$4,914 ",104
Curtice Advani,USA,Peanut Butter Cubes,24-Mar-22,"$3,402 ",169
Jehu Rudeforth,New Zealand,Manuka Honey Choco,19-Jan-22,"$2,506 ",475
Kelci Walkden,New Zealand,85% Dark Bars,15-Jun-22,"$4,557 ",296
Dennison Crosswaite,UK,Organic Choco Syrup,7-Feb-22,"$14,938 ",141
Van Tuxwell,New Zealand,Mint Chip Choco,1-Apr-22,"$7,077 ",353
Madelene Upcott,Australia,50% Dark Bites,22-Aug-22,"$1,953 ",171
Madelene Upcott,USA,Choco Coated Almonds,10-May-22,"$3,703 ",171
Jan Morforth,India,70% Dark Bites,29-Jun-22,"$2,149 ",78
Mallorie Waber,India,Manuka Honey Choco,23-Jun-22,"$13,727 ",285
Dennison Crosswaite,India,Choco Coated Almonds,11-Mar-22,$161 ,60
Madelene Upcott,Australia,Almond Choco,17-Jun-22,"$3,066 ",539
Dennison Crosswaite,UK,Manuka Honey Choco,17-Aug-22,"$2,478 ",122
Jan Morforth,UK,Caramel Stuffed Bars,17-Jan-22,"$13,503 ",181
Kaine Padly,India,Drinking Coco,19-Jan-22,"$10,038 ",62
Mallorie Waber,New Zealand,Drinking Coco,15-Apr-22,"$8,470 ",179
Camilla Castle,Canada,Manuka Honey Choco,3-Mar-22,$469 ,155
Husein Augar,Canada,Choco Coated Almonds,1-Apr-22,"$7,413 ",257
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,31-Mar-22,"$14,147 ",361
Barr Faughny,India,70% Dark Bites,15-Jun-22,$329 ,183
Kelci Walkden,USA,Mint Chip Choco,28-Apr-22,"$2,800 ",81
Beverie Moffet,UK,Raspberry Choco,22-Jun-22,"$6,839 ",35
Wilone O'Kielt,UK,85% Dark Bars,23-Aug-22,"$7,952 ",299
Andria Kimpton,Canada,White Choc,30-Aug-22,"$6,013 ",73
Jehu Rudeforth,UK,Raspberry Choco,13-May-22,"$8,001 ",214
Wilone O'Kielt,Australia,70% Dark Bites,31-Aug-22,"$3,010 ",108
Roddy Speechley,USA,Peanut Butter Cubes,24-Jun-22,"$5,894 ",182
Husein Augar,Canada,99% Dark & Pure,10-Mar-22,"$7,357 ",597
Gigi Bohling,USA,Mint Chip Choco,14-Apr-22,"$22,050 ",11
Dotty Strutley,India,Choco Coated Almonds,15-Aug-22,"$10,906 ",23
Curtice Advani,New Zealand,Peanut Butter Cubes,13-Jun-22,"$13,356 ",103
Jehu Rudeforth,India,Smooth Sliky Salty,28-Jun-22,"$6,832 ",140
Mallorie Waber,USA,After Nines,12-May-22,"$19,929 ",438
Mallorie Waber,USA,Mint Chip Choco,21-Apr-22,"$1,876 ",512
Andria Kimpton,Canada,Peanut Butter Cubes,7-Jan-22,"$14,749 ",146
Jan Morforth,New Zealand,85% Dark Bars,7-Jul-22,"$1,358 ",482
Rafaelita Blaksland,Canada,99% Dark & Pure,11-May-22,"$6,979 ",339
Karlen McCaffrey,India,70% Dark Bites,13-Jun-22,$623 ,341
Husein Augar,USA,After Nines,21-Jul-22,"$10,794 ",294
Madelene Upcott,USA,Mint Chip Choco,4-Aug-22,"$5,446 ",33
Marney O'Breen,New Zealand,White Choc,12-Jul-22,"$5,796 ",11
Beverie Moffet,Canada,Smooth Sliky Salty,2-Jun-22,"$6,167 ",107
Andria Kimpton,Canada,Organic Choco Syrup,20-Apr-22,"$7,182 ",242
Camilla Castle,Australia,85% Dark Bars,14-Jul-22,$210 ,48
Husein Augar,UK,After Nines,31-Mar-22,"$5,124 ",406
Oby Sorrel,New Zealand,Orange Choco,18-Jan-22,"$5,600 ",148
Husein Augar,India,Raspberry Choco,6-Jul-22,"$9,884 ",93
Karlen McCaffrey,Australia,White Choc,21-Jan-22,"$3,955 ",547
Oby Sorrel,Australia,Mint Chip Choco,28-Jan-22,"$19,453 ",210
Karlen McCaffrey,USA,Fruit & Nut Bars,12-Apr-22,"$4,032 ",38
Oby Sorrel,UK,Orange Choco,2-Mar-22,"$3,864 ",289
Camilla Castle,UK,Mint Chip Choco,3-Feb-22,"$1,589 ",275
Dennison Crosswaite,UK,Smooth Sliky Salty,12-Apr-22,"$3,479 ",16
Husein Augar,UK,Orange Choco,26-Jul-22,"$5,775 ",287
Gigi Bohling,India,Almond Choco,25-Apr-22,"$4,410 ",370
Curtice Advani,Australia,Peanut Butter Cubes,26-Jul-22,"$19,481 ",276
Gunar Cockshoot,UK,Spicy Special Slims,13-Jan-22,"$1,225 ",319
Mallorie Waber,Australia,Drinking Coco,23-Aug-22,"$8,022 ",262
Andria Kimpton,India,Choco Coated Almonds,8-Jul-22,$364 ,468
Gigi Bohling,Canada,Peanut Butter Cubes,7-Feb-22,"$5,600 ",19
Camilla Castle,India,Organic Choco Syrup,2-Aug-22,"$10,500 ",368
Husein Augar,India,Spicy Special Slims,20-Apr-22,"$4,522 ",117
Mallorie Waber,UK,85% Dark Bars,19-Jan-22,"$10,024 ",306
Kaine Padly,Australia,Raspberry Choco,12-Aug-22,"$1,645 ",709
Barr Faughny,New Zealand,Eclairs,18-Feb-22,"$8,463 ",52
Dotty Strutley,USA,White Choc,22-Mar-22,"$12,327 ",54
Jehu Rudeforth,New Zealand,Peanut Butter Cubes,23-Mar-22,"$9,835 ",132
Jan Morforth,UK,Caramel Stuffed Bars,29-Mar-22,"$18,991 ",247
Camilla Castle,Australia,After Nines,21-Feb-22,"$1,540 ",104
Camilla Castle,USA,Caramel Stuffed Bars,8-Apr-22,"$3,969 ",39
Jan Morforth,India,Orange Choco,13-Jul-22,"$6,454 ",218
Camilla Castle,Australia,Spicy Special Slims,2-Aug-22,$126 ,74
Rafaelita Blaksland,India,70% Dark Bites,10-Jan-22,"$6,279 ",137
Brien Boise,India,Organic Choco Syrup,28-Jul-22,"$4,046 ",195
Gunar Cockshoot,Australia,Milk Bars,12-Aug-22,"$3,556 ",614
Oby Sorrel,Australia,Manuka Honey Choco,14-Jun-22,"$1,379 ",46
Dotty Strutley,Australia,Organic Choco Syrup,17-May-22,"$11,116 ",12
Kelci Walkden,USA,Almond Choco,23-Jun-22,"$3,997 ",127
Brien Boise,USA,Mint Chip Choco,24-Jan-22,"$2,898 ",152
Wilone O'Kielt,UK,99% Dark & Pure,4-Jan-22,"$2,604 ",259
Mallorie Waber,UK,Almond Choco,30-Aug-22,"$9,870 ",216
Kelci Walkden,USA,Eclairs,9-May-22,"$2,156 ",39
Curtice Advani,Australia,White Choc,19-Jul-22,"$7,623 ",305
Beverie Moffet,New Zealand,50% Dark Bites,14-Feb-22,"$1,029 ",204
